image,extracted_text,toxicity_label,toxicity_score
1.png,"when your human says ""who' $ a good girl?"" and vou already know its VOu",Non-toxic,0.23031148314476013
4.jpg,Aaj Mai Free Hun Kya karu Tumhare Liye G9HaRAMI Ek Haath Se Chai Pila Dusre Haath Se Mera Hila,Toxic,0.3026423156261444
7.png,Ihere iStiiference heteel violalingmislis andolhermisiis I~b dlontgetconiused Aj,Non-toxic,0.22266121208667755
52_M_pic_10.jpg,SOME MEMES DO NOT REQUIRE CAPTIONS Dollywood olfynslve Oreo OREO,Non-toxic,0.21844150125980377
5.png,"when you""re feeling [orty asilbugou (abibi[s 0. [erfods llets (yagoad",Toxic,0.27022138237953186
160_M_pic_1.jpg,se karo raju_ 10.32 Bheem dekh lega Jaldi,Toxic,0.29414185881614685
3.png,my body my choice Hpon,Toxic,0.3335070013999939
6.png,last time muslims invaded europe vlad stuck poles up) their asses and made a fucking forest be like vlad,Toxic,0.38566920161247253
3.jpg,Crush : Tumhe pta h iss kutte ne mujhe kal kata Le boy,Toxic,0.2770117521286011
50_M_pic_1.jpg,HEMECHAT APP rajivcasm13 Pahle Nahi Dikhate Thi @rajivcasm13 Ab Dikhane Lagi,Toxic,0.2641993463039398
140_M_pic_2.jpg,Chakki Chakki Ig IbzSunilVerma30 17-18 Saal Ki Ladki Nikaal Jisne Bachpan Mein Cycle Nhi Chalai Ho,Toxic,0.3168517053127289
10.jpg,Fele Ucedelden cejy chalo ab ghar ko bulldozer se} bachare ki fikr mer agjao],Toxic,0.3028780221939087
204_M_pic_1.jpg,Meniet Lndka @Momerludka Ta UB cucl Kitna ganda aadmi hoon mai yaar,Toxic,0.281429260969162
